Data,pm25,pm10,o3,no2,so2,co
2016-04-17,68.0,28.0,27.0,31.0,2.0,5.0
2016-04-18,68.0,19.0,27.0,31.0,2.0,5.0
2016-04-19,68.0,42.0,27.0,31.0,2.0,5.0
2016-04-20,68.0,25.0,27.0,31.0,2.0,5.0
2016-04-21,68.0,37.0,27.0,31.0,2.0,5.0
2016-04-22,68.0,45.0,27.0,31.0,2.0,5.0
2016-04-23,68.0,34.0,27.0,31.0,2.0,5.0
2016-04-24,68.0,20.0,27.0,31.0,2.0,5.0
2016-04-25,68.0,27.0,27.0,31.0,2.0,5.0
2016-04-26,68.0,36.0,27.0,31.0,2.0,5.0
2016-04-27,68.0,20.0,27.0,31.0,2.0,5.0
2016-04-28,68.0,15.0,27.0,31.0,2.0,5.0
2016-04-29,68.0,28.0,27.0,31.0,2.0,5.0
2016-04-30,68.0,29.0,27.0,31.0,2.0,5.0
2016-05-01,68.0,24.0,27.0,31.0,2.0,5.0
2016-05-02,68.0,18.0,27.0,31.0,2.0,5.0
2016-05-03,68.0,18.0,27.0,31.0,2.0,5.0
2016-05-04,68.0,32.0,27.0,31.0,2.0,5.0
2016-05-05,68.0,30.0,27.0,31.0,2.0,5.0
2016-05-06,68.0,29.0,27.0,31.0,2.0,5.0
2016-05-07,68.0,26.0,27.0,31.0,2.0,5.0
2016-05-08,68.0,12.0,27.0,31.0,2.0,5.0
2016-05-09,68.0,21.0,27.0,31.0,2.0,5.0
2016-05-10,68.0,22.0,27.0,31.0,2.0,5.0
2016-05-11,68.0,29.0,27.0,31.0,2.0,5.0
2016-05-12,68.0,23.0,27.0,31.0,2.0,5.0
2016-05-13,68.0,17.0,27.0,31.0,2.0,5.0
2016-05-14,68.0,21.0,27.0,31.0,2.0,5.0
2016-05-15,68.0,18.0,27.0,31.0,2.0,5.0
2016-05-16,68.0,21.0,27.0,31.0,2.0,5.0
2016-05-17,68.0,22.0,27.0,31.0,2.0,5.0
2016-05-18,68.0,28.0,27.0,31.0,2.0,5.0
2016-05-19,68.0,37.0,27.0,31.0,2.0,5.0
2016-05-20,68.0,34.0,27.0,31.0,2.0,5.0
2016-05-21,68.0,36.0,27.0,31.0,2.0,5.0
2016-05-22,68.0,31.0,27.0,31.0,2.0,5.0
2016-05-24,68.0,23.0,27.0,31.0,2.0,5.0
2016-05-25,68.0,27.0,27.0,31.0,2.0,5.0
2016-05-26,68.0,30.0,27.0,31.0,2.0,5.0
2016-05-27,68.0,35.0,27.0,31.0,2.0,5.0
2016-05-28,68.0,15.0,27.0,31.0,2.0,5.0
2016-05-29,68.0,22.0,27.0,31.0,2.0,5.0
2016-05-30,68.0,22.0,27.0,31.0,2.0,5.0
2016-05-31,68.0,28.0,27.0,31.0,2.0,5.0
2016-06-01,68.0,16.0,27.0,31.0,2.0,5.0
2016-06-02,68.0,18.0,27.0,31.0,2.0,5.0
2016-06-03,68.0,24.0,27.0,31.0,2.0,5.0
2016-06-04,68.0,26.0,27.0,31.0,2.0,5.0
2016-06-05,68.0,24.0,27.0,31.0,2.0,5.0
2016-06-06,68.0,14.0,27.0,31.0,2.0,5.0
